VendorName,Status,Category,ContractExpiry,Notes
Sembawang Industrial Supplies,Approved,Machinery,2027-03-31,Master agreement in place
Orchard Office Solutions,Approved,Stationery,2026-12-31,Preferred stationery vendor
Jurong Safety Equipment,Approved,PPE,2027-06-30,Annual PPE contract
Tampines IT Distributors,Approved,IT Hardware,2026-11-30,Hardware reseller
Marina Facilities Management,Approved,Facilities,2027-01-31,Building services
Bukit Timah Consumables,Approved,Consumables,2026-09-30,Pantry and cleaning
Changi Fleet Services,Approved,Vehicles,2027-08-31,Fleet leasing and servicing
Redhill Software Licensing,Approved,Software Subscription,2026-10-31,Volume licence agent
Woodlands Precision Tools,Suspended,Machinery,2026-05-31,Suspended pending quality investigation
Kallang Metal Works,Suspended,Machinery,2026-04-30,Suspended - late delivery record
Serangoon Technical Services,Under Review,Facilities,2026-08-31,Annual due diligence in progress
Paya Lebar Logistics,Under Review,Consumables,2026-07-31,Ownership change under review
